gene,cell,r
FOS,B cells naive,0.0603024750071191
FOS,B cells memory,0.00609464590909665
FOS,Plasma cells,0.112572655349079
FOS,T cells CD8,0.197581928350573
FOS,T cells CD4 naive,0.20891647638543
FOS,T cells CD4 memory resting,0.0092624779205703
FOS,T cells CD4 memory activated,0.0569278353540666
FOS,T cells follicular helper,0.0274972663897489
FOS,T cells regulatory (Tregs),0.161643135380017
FOS,T cells gamma delta,0.194493200312602
FOS,NK cells resting,0.0187019500002895
FOS,NK cells activated,0.180065435129369
FOS,Monocytes,0.125703738558299
FOS,Macrophages M0,0.33818618837655
FOS,Macrophages M1,0.192308678051184
FOS,Macrophages M2,0.0281617059441342
FOS,Dendritic cells resting,0.19401561867781
FOS,Dendritic cells activated,0.0578429892946182
FOS,Mast cells resting,0.216595311547925
FOS,Mast cells activated,0.131802193373281
FOS,Eosinophils,0.186487503294547
FOS,Neutrophils,0.5743620482139
PTGS2,B cells naive,0.00556977449116217
PTGS2,B cells memory,0.0228409298806314
PTGS2,Plasma cells,0.0564061781645036
PTGS2,T cells CD8,0.253510210790219
PTGS2,T cells CD4 naive,0.267952811141716
PTGS2,T cells CD4 memory resting,0.169834253012777
PTGS2,T cells CD4 memory activated,0.0222510115268736
PTGS2,T cells follicular helper,0.0414332337339826
PTGS2,T cells regulatory (Tregs),0.0548041580264585
PTGS2,T cells gamma delta,0.146936344852199
PTGS2,NK cells resting,0.127548336375228
PTGS2,NK cells activated,0.169857362580253
PTGS2,Monocytes,0.0659275056063889
PTGS2,Macrophages M0,0.203526101343832
PTGS2,Macrophages M1,0.113940102492717
PTGS2,Macrophages M2,0.0715806812691732
PTGS2,Dendritic cells resting,0.119627090789641
PTGS2,Dendritic cells activated,0.124605231769816
PTGS2,Mast cells resting,0.109261369935617
PTGS2,Mast cells activated,0.161503872338124
PTGS2,Eosinophils,0.107387630407027
PTGS2,Neutrophils,0.434007365234499
LMNB1,B cells naive,0.0565186845351602
LMNB1,B cells memory,0.00714195576566579
LMNB1,Plasma cells,0.0270261451319189
LMNB1,T cells CD8,0.382006630494133
LMNB1,T cells CD4 naive,0.00950540133510149
LMNB1,T cells CD4 memory resting,0.000482943552185099
LMNB1,T cells CD4 memory activated,0.1699869723484
LMNB1,T cells follicular helper,0.124719809805269
LMNB1,T cells regulatory (Tregs),0.0249807716952515
LMNB1,T cells gamma delta,0.0411859720058619
LMNB1,NK cells resting,0.15020561574027
LMNB1,NK cells activated,0.0534530966576683
LMNB1,Monocytes,0.186002387963753
LMNB1,Macrophages M0,0.453504165458244
LMNB1,Macrophages M1,0.0350252983664286
LMNB1,Macrophages M2,0.0337567158774786
LMNB1,Dendritic cells resting,0.186577056882568
LMNB1,Dendritic cells activated,0.04400489285036
LMNB1,Mast cells resting,0.230462170725834
LMNB1,Mast cells activated,0.267400802788369
LMNB1,Eosinophils,0.143001163395384
LMNB1,Neutrophils,0.561767464046822
CXCL1,B cells naive,0.255461592926333
CXCL1,B cells memory,0.20475574881645
CXCL1,Plasma cells,0.183367042650658
CXCL1,T cells CD8,0.22674173162909
CXCL1,T cells CD4 naive,0.263497004503212
CXCL1,T cells CD4 memory resting,0.0326305559823887
CXCL1,T cells CD4 memory activated,0.0273291535231762
CXCL1,T cells follicular helper,0.219842089492638
CXCL1,T cells regulatory (Tregs),0.121470241300821
CXCL1,T cells gamma delta,0.0143622243927497
CXCL1,NK cells resting,0.119687097655443
CXCL1,NK cells activated,0.0235941040700681
CXCL1,Monocytes,0.0915448987186123
CXCL1,Macrophages M0,0.498608827651089
CXCL1,Macrophages M1,0.102230059156145
CXCL1,Macrophages M2,0.0919268695110593
CXCL1,Dendritic cells resting,0.195150517626693
CXCL1,Dendritic cells activated,0.0672034769537574
CXCL1,Mast cells resting,0.00803609492418697
CXCL1,Mast cells activated,0.106983149565942
CXCL1,Eosinophils,0.107314969734191
CXCL1,Neutrophils,0.521102738640477
