,CXCL1,FOS,PTGS2,LMNB1,GroupType
GSM416567_con,0.5930087,-0.09978254,-1.026379,1.179221,0
GSM416568_con,0.3822005,0.5969772,-0.1324019,1.085271,0
GSM416569_con,0.3310304,0.3595331,0.3458389,1.168959,0
GSM416570_con,0.7155257,0.0362853,-1.81305,0.7841753,0
GSM416571_con,0.4098289,0.6186638,-0.06241149,0.5136869,0
GSM416572_con,0.9145845,0.9528535,0.3786483,0.4422619,0
GSM416573_con,0.2635438,0.3997911,-0.003053401,0.3102782,0
GSM416574_con,0.3466319,-0.0105888,0.1016314,0.4834377,0
GSM416575_con,0.6186638,1.301967,0.8126829,0.9613733,0
GSM416576_con,0.9174291,0.09489004,0.5736838,0.6429657,0
GSM416577_con,0.103075,0.5347139,-0.06510431,1.753524,0
GSM416578_con,0.4053752,0.7631752,-0.2434172,0.7989592,0
GSM416579_con,0.4110247,0.2094823,-1.029881,0.9498447,0
GSM416580_con,0.4078377,1.303096,0.269901,1.45399,0
GSM416581_con,0.3804032,0.3463765,-0.1680946,0.6559281,0
GSM416582_con,0.1592176,0.6367926,0.6669436,1.035082,0
GSM416583_con,0.2164932,1.343494,0.4237053,1.058204,0
GSM416584_con,0.3897702,1.148365,0.1648642,1.343494,0
GSM416585_con,0.7808813,0.9489787,-0.166179,1.294767,0
GSM416586_con,-0.003559259,0.863943,0.135012,0.8490835,0
GSM416587_con,0.2875314,0.4737448,-0.2225813,0.7281304,0
GSM416588_con,0.7856264,1.132127,0.8230079,1.084346,0
GSM416589_con,0.5151122,0.3315607,0.2555897,0.6226348,0
GSM416590_con,0.2097615,0.4185012,-0.2145502,0.2832971,0
GSM1406033_con,0.523572,0.8945339,0.2741839,1.342265,0
GSM1406034_con,0.2324054,0.9964334,0.1996013,1.403023,0
GSM1406035_con,-0.4385017,0.8190299,-0.3160195,0.9824562,0
GSM1406036_con,0.2401908,1.064766,0.04809161,0.811114,0
GSM1406037_con,-0.1032415,0.4003185,-0.5203947,0.3386837,0
GSM1406038_con,0.8890505,0.8881841,0.2841181,1.150734,0
GSM1406039_con,0.8015612,1.01943,0.7465379,1.25185,0
GSM1406040_con,-0.1819048,0.307825,-1.120567,0.7260179,0
GSM1406041_con,-1.05432,0.23892,-1.683455,0.2854597,0
GSM1406042_con,-0.1540541,0.9331917,0.2222367,0.8812991,0
GSM1406043_con,0.3503513,1.072615,0.5410332,0.3546611,0
GSM1406044_con,0.6489865,0.9494063,0.4277957,1.763385,0
GSM1406045_con,-0.4890515,0.6248344,-0.7646583,0.6996721,0
GSM1406046_con,-1.308008,-0.1985569,-1.09013,-0.05066146,0
GSM1406047_con,0.8812991,0.7325547,-0.2019248,0.4237053,0
GSM1406048_con,0.5232682,0.5622265,0.438219,0.709488,0
GSM1406049_con,0.598205,1.091726,-0.06971217,-0.1958899,0
GSM1406050_con,0.03318326,1.094205,-0.05297248,0.9938495,0
GSM1406051_con,-0.1484191,1.335763,-0.3092067,-0.1149021,0
GSM1406052_con,0.5202053,0.2162257,-0.02817641,1.11987,0
GSM1406053_con,0.4822802,1.007606,0.4277957,-0.180444,0
GSM1406054_con,1.421095,1.239272,0.6633212,0.8299902,0
GSM1406055_con,-0.847673,0.01909666,-1.464484,0.4422619,0
GSM416528_tre,0.4104399,0.9846537,-0.02718537,0.9335971,1
GSM416529_tre,0.7904399,1.18242,0.5335025,1.193911,1
GSM416530_tre,0.7435996,0.7291998,-0.4499265,1.434486,1
GSM416531_tre,0.6050868,0.1928483,0.1255124,1.4603,1
GSM416532_tre,0.7335834,1.319628,0.1793045,1.063442,1
GSM416533_tre,0.4053752,1.006026,0.6607398,1.176517,1
GSM416534_tre,0.6968481,1.458952,0.7614389,0.9231843,1
GSM416535_tre,1.316691,1.801322,1.271231,2.59052,1
GSM416536_tre,0.760339,0.4295339,0.217542,0.4595668,1
GSM416537_tre,0.827878,0.8885894,0.8502021,1.400997,1
GSM416538_tre,0.6719893,0.9405277,-0.1620848,1.266704,1
GSM416539_tre,0.8345983,1.575352,1.23877,2.232,1
GSM416540_tre,0.8786293,1.080094,0.3011374,0.9206001,1
GSM416541_tre,0.7787287,1.944922,0.8603606,0.9311414,1
GSM416542_tre,1.290353,1.179764,1.198488,0.9868823,1
GSM416543_tre,0.789347,0.9889555,0.4251517,0.779106,1
GSM416544_tre,1.155111,1.818237,0.8804996,0.674053,1
GSM416545_tre,0.4356305,1.041769,1.34657,1.570253,1
GSM416546_tre,0.5223802,1.172122,2.016198,1.603909,1
GSM416547_tre,0.2878279,0.9968596,-0.1064698,1.554998,1
GSM416548_tre,0.2029507,0.9227732,0.1323297,0.8446243,1
GSM416549_tre,-0.3495393,1.363828,0.1902828,1.096494,1
GSM416550_tre,0.5350243,1.058204,1.128435,2.088482,1
GSM416551_tre,0.5232682,0.7446309,0.07978987,1.78226,1
GSM416552_tre,-0.1771266,1.030253,-0.1637528,0.6302568,1
GSM416553_tre,0.550585,1.465051,1.37827,1.591979,1
GSM416554_tre,0.343522,1.650633,0.5954139,1.283084,1
GSM416555_tre,0.8997313,1.778371,0.9009455,1.833634,1
GSM416556_tre,0.4413919,1.240927,1.094205,1.427231,1
GSM416557_tre,0.5539311,0.8808914,1.352151,1.606976,1
GSM416558_tre,0.7401313,0.9915922,-0.05750472,1.675645,1
GSM416559_tre,0.1972371,0.7656768,0.4965746,1.361424,1
GSM416560_tre,0.874392,1.788494,1.458952,2.088482,1
GSM416561_tre,0.3655065,1.190213,0.4016726,1.362613,1
GSM416562_tre,0.260145,1.218822,0.6458499,2.460519,1
GSM416563_tre,0.8089214,0.5988546,1.038237,1.631083,1
GSM416564_tre,0.6361302,1.833634,1.175049,1.880565,1
GSM416565_tre,0.2889501,1.412545,0.1589619,1.671311,1
GSM416566_tre,0.4107335,0.826006,0.4972033,0.8921514,1
GSM1406056_tre,0.3035526,0.9227732,0.3964492,1.430666,1
GSM1406057_tre,-1.511732,-0.1193025,-1.537849,0.4190788,1
GSM1406058_tre,-0.2724674,1.416468,0.3736913,1.015124,1
GSM1406059_tre,2.017484,1.237217,0.6872152,0.939312,1
GSM1406060_tre,1.243066,2.069767,1.684388,1.194444,1
GSM1406061_tre,0.1514985,1.170022,1.022202,0.7956164,1
GSM1406062_tre,0.1380742,0.4545336,0.05924892,1.535192,1
GSM1406063_tre,1.060812,1.427886,0.6993306,1.559807,1
GSM1406064_tre,0.9604702,1.580664,0.9489787,1.699089,1
GSM1406065_tre,0.6001151,0.4245134,-0.1978198,1.174024,1
GSM1406066_tre,0.6781065,0.8751475,0.123022,1.223098,1
GSM1406067_tre,0.8592179,0.1145763,0.6539577,1.15773,1
GSM1406068_tre,-0.1688697,0.2998491,-0.04375143,0.5829685,1
GSM1406069_tre,0.5380388,0.6461789,1.138872,2.233843,1
GSM1406070_tre,0.3849594,1.225428,1.232243,1.272916,1
GSM1406071_tre,0.5014321,0.1297812,0.5436048,1.677455,1
GSM1406072_tre,0.7457871,1.26162,1.368685,1.464392,1
GSM1406073_tre,0.7498503,1.230612,1.007211,1.598302,1
GSM1406074_tre,0.5416917,1.280316,0.2678134,0.8782539,1
GSM1406075_tre,0.8070242,1.066587,0.08517995,1.303096,1
GSM1406076_tre,1.427231,1.388509,-0.04058282,0.7048015,1
GSM1406077_tre,-0.7712477,0.3586458,-0.2017181,0.155118,1
GSM1406078_tre,0.5561135,0.6384542,0.03138398,0.9876725,1
GSM1406079_tre,0.2140952,1.288239,0.4287218,1.073572,1
GSM1406080_tre,0.3876636,1.715848,0.5157165,1.798332,1
GSM1406081_tre,0.5603046,0.8685358,0.838562,1.559807,1
GSM1406082_tre,0.5860933,0.2843846,-0.3066678,1.218547,1
GSM1406083_tre,0.2835621,0.2129494,0.4532893,1.015968,1
GSM1406084_tre,0.8717238,1.134188,0.8572408,1.778371,1
GSM1406085_tre,0.6800831,1.561339,1.191738,1.696541,1
GSM1406086_tre,0.8643663,1.400355,0.2827979,1.655616,1
GSM1406087_tre,0.6649982,0.3278099,0.6574115,1.251319,1
GSM1406088_tre,0.5685785,1.105697,1.548146,1.544352,1
GSM1406089_tre,-0.1647524,1.776255,1.116571,1.121516,1
GSM1406090_tre,0.7133239,1.50354,1.276364,1.661555,1
GSM1406091_tre,1.059932,0.9742684,0.5183706,1.900111,1
GSM1406092_tre,0.5902214,1.296475,0.9982578,1.666308,1
GSM1406093_tre,0.9885013,1.606976,1.215615,1.242529,1
GSM1406094_tre,0.9722459,1.511574,0.6893488,1.510763,1
GSM1406095_tre,0.8763421,1.647915,-0.1834239,0.9704533,1
GSM1406096_tre,1.073572,1.737216,0.4730958,1.399016,1
GSM1406097_tre,0.9154211,1.360301,1.02173,0.8669956,1
GSM1406098_tre,1.016718,0.78671,0.008119355,1.327609,1
GSM1406099_tre,1.14882,1.370612,1.137328,1.908435,1
GSM1406100_tre,0.6374563,0.8153537,0.3487666,1.337042,1
GSM1406101_tre,0.6186638,0.2455038,0.5285451,1.229392,1
GSM1406102_tre,0.9964334,0.82633,0.9121248,1.576124,1
GSM1406103_tre,0.8230079,1.155111,1.244719,1.850248,1
GSM1406104_tre,0.7432643,0.840132,0.701792,1.380296,1
GSM1406105_tre,-0.9723719,0.07802536,-0.3691436,0.4492242,1
GSM1406106_tre,0.1467131,1.647915,0.8502021,1.483839,1
GSM1406107_tre,0.6189585,0.6226348,-0.3580046,1.339049,1
GSM1406108_tre,0.411281,0.1475192,0.8218906,0.9557015,1
GSM1406109_tre,0.783131,0.932356,0.5682505,2.080021,1
GSM1406110_tre,0.270172,0.6600752,0.8415845,1.205408,1
GSM1406111_tre,0.006220898,-0.1696044,-0.3599715,1.289285,1
GSM1406112_tre,0.701792,0.4307195,0.3349124,1.510763,1
GSM1406113_tre,0.3540496,1.923658,1.586201,1.174527,1
GSM1406114_tre,0.2593433,1.61719,0.4237053,1.520901,1
GSM1406115_tre,0.6910257,1.290353,1.002454,1.903877,1
GSM1406116_tre,0.9868823,0.698623,0.5632204,1.686996,1
GSM1406117_tre,0.07498819,1.126396,0.3879086,1.042715,1
GSM1406118_tre,0.8349565,1.401662,0.7216159,1.918782,1
GSM1406119_tre,0.7461464,1.669646,0.167164,1.55587,1
GSM1406120_tre,1.074474,1.118954,-0.05972117,1.871222,1
GSM1406121_tre,0.4431959,0.6053726,-0.1897941,0.5575012,1
GSM1406122_tre,1.461516,1.272315,1.0749,1.700049,1
GSM1406123_tre,0.5269876,0.5211343,0.1586967,1.088038,1
GSM1406124_tre,0.4072943,0.4846298,0.8673575,0.8894135,1
